Leaf Number,Latitude Range,Longitude Range
1,"(-90, 19.494220733642578)","(-180, -146.00926971435547)"
2,"(19.494220733642578, 38.61310577392578)","(-180, -146.00926971435547)"
3,"(-90, 38.204010009765625)","(-146.00926971435547, -121.97854614257812)"
4,"(38.204010009765625, 38.61310577392578)","(-146.00926971435547, -121.97854614257812)"
5,"(-90, 34.55225372314453)","(-121.97854614257812, -116.40807723999023)"
6,"(34.55225372314453, 38.61310577392578)","(-121.97854614257812, -116.40807723999023)"
7,"(-90, 33.51532173156738)","(-116.40807723999023, -114.2497444152832)"
8,"(33.51532173156738, 38.61310577392578)","(-116.40807723999023, -114.2497444152832)"
9,"(38.61310577392578, 46.87065124511719)","(-180, -122.17474365234375)"
10,"(46.87065124511719, 49.29811477661133)","(-180, -122.17474365234375)"
11,"(49.29811477661133, 59.66209030151367)","(-180, -134.88976287841797)"
12,"(49.29811477661133, 59.66209030151367)","(-134.88976287841797, -122.17474365234375)"
13,"(38.61310577392578, 40.09819412231445)","(-122.17474365234375, -120.36515045166016)"
14,"(38.61310577392578, 40.09819412231445)","(-120.36515045166016, -114.2497444152832)"
15,"(40.09819412231445, 59.66209030151367)","(-122.17474365234375, -120.76246643066406)"
16,"(40.09819412231445, 59.66209030151367)","(-120.76246643066406, -114.2497444152832)"
17,"(59.66209030151367, 60.0555419921875)","(-180, -141.32574462890625)"
18,"(60.0555419921875, 60.80319595336914)","(-180, -150.14263153076172)"
19,"(60.0555419921875, 60.80319595336914)","(-150.14263153076172, -141.32574462890625)"
20,"(59.66209030151367, 60.77824783325195)","(-141.32574462890625, -133.33019256591797)"
21,"(59.66209030151367, 60.77824783325195)","(-133.33019256591797, -114.2497444152832)"
22,"(60.77824783325195, 60.77877998352051)","(-141.32574462890625, -114.2497444152832)"
23,"(60.77877998352051, 60.80319595336914)","(-141.32574462890625, -114.2497444152832)"
24,"(60.80319595336914, 61.24054718017578)","(-180, -149.7076873779297)"
25,"(60.80319595336914, 61.24054718017578)","(-149.7076873779297, -121.818603515625)"
26,"(61.24054718017578, 90)","(-180, -149.19844818115234)"
27,"(61.24054718017578, 90)","(-149.19844818115234, -121.818603515625)"
28,"(60.80319595336914, 61.86500358581543)","(-121.818603515625, -114.2497444152832)"
29,"(61.86500358581543, 65.11390686035156)","(-121.818603515625, -114.2497444152832)"
30,"(65.11390686035156, 90)","(-121.818603515625, -114.2497444152832)"
31,"(-90, 22.830891609191895)","(-114.2497444152832, -108.10220336914062)"
32,"(22.830891609191895, 23.91254425048828)","(-114.2497444152832, -108.10220336914062)"
33,"(-90, 21.6556339263916)","(-108.10220336914062, -103.69103240966797)"
34,"(21.6556339263916, 23.91254425048828)","(-108.10220336914062, -103.69103240966797)"
35,"(-90, 18.985981941223145)","(-103.69103240966797, -101.59486770629883)"
36,"(-90, 18.985981941223145)","(-101.59486770629883, -98.74539947509766)"
37,"(18.985981941223145, 23.91254425048828)","(-103.69103240966797, -99.17475509643555)"
38,"(18.985981941223145, 23.91254425048828)","(-99.17475509643555, -98.74539947509766)"
39,"(23.91254425048828, 33.933868408203125)","(-114.2497444152832, -111.35808181762695)"
40,"(23.91254425048828, 33.933868408203125)","(-111.35808181762695, -107.38076782226562)"
