Leaf Node,Latitude Range,Longitude Range
8,"(-90, 19.494220733642578)","(-180, -146.00926971435547)"
9,"(19.494220733642578, 38.61310577392578)","(-180, -146.00926971435547)"
11,"(-90, 38.204010009765625)","(-146.00926971435547, -121.97854614257812)"
12,"(38.204010009765625, 38.61310577392578)","(-146.00926971435547, -121.97854614257812)"
15,"(-90, 34.55225372314453)","(-121.97854614257812, -116.40807723999023)"
16,"(34.55225372314453, 38.61310577392578)","(-121.97854614257812, -116.40807723999023)"
18,"(-90, 33.51532173156738)","(-116.40807723999023, -114.2497444152832)"
19,"(33.51532173156738, 38.61310577392578)","(-116.40807723999023, -114.2497444152832)"
23,"(38.61310577392578, 46.87065124511719)","(-180, -122.17474365234375)"
24,"(46.87065124511719, 49.29811477661133)","(-180, -122.17474365234375)"
26,"(49.29811477661133, 59.66209030151367)","(-180, -134.88976287841797)"
27,"(49.29811477661133, 59.66209030151367)","(-134.88976287841797, -122.17474365234375)"
30,"(38.61310577392578, 40.09819412231445)","(-122.17474365234375, -120.36515045166016)"
31,"(38.61310577392578, 40.09819412231445)","(-120.36515045166016, -114.2497444152832)"
33,"(40.09819412231445, 59.66209030151367)","(-122.17474365234375, -120.76246643066406)"
34,"(40.09819412231445, 59.66209030151367)","(-120.76246643066406, -114.2497444152832)"
38,"(59.66209030151367, 60.0555419921875)","(-180, -141.32574462890625)"
40,"(60.0555419921875, 60.80319595336914)","(-180, -150.14263153076172)"
41,"(60.0555419921875, 60.80319595336914)","(-150.14263153076172, -141.32574462890625)"
44,"(59.66209030151367, 60.77824783325195)","(-141.32574462890625, -133.33019256591797)"
45,"(59.66209030151367, 60.77824783325195)","(-133.33019256591797, -114.2497444152832)"
47,"(60.77824783325195, 60.77877998352051)","(-141.32574462890625, -114.2497444152832)"
48,"(60.77877998352051, 60.80319595336914)","(-141.32574462890625, -114.2497444152832)"
52,"(60.80319595336914, 61.24054718017578)","(-180, -149.7076873779297)"
53,"(60.80319595336914, 61.24054718017578)","(-149.7076873779297, -121.818603515625)"
55,"(61.24054718017578, 90)","(-180, -149.19844818115234)"
56,"(61.24054718017578, 90)","(-149.19844818115234, -121.818603515625)"
59,"(60.80319595336914, 61.86500358581543)","(-121.818603515625, -114.2497444152832)"
60,"(61.86500358581543, 65.11390686035156)","(-121.818603515625, -114.2497444152832)"
61,"(65.11390686035156, 90)","(-121.818603515625, -114.2497444152832)"
67,"(-90, 22.830891609191895)","(-114.2497444152832, -108.10220336914062)"
68,"(22.830891609191895, 23.91254425048828)","(-114.2497444152832, -108.10220336914062)"
70,"(-90, 21.6556339263916)","(-108.10220336914062, -103.69103240966797)"
71,"(21.6556339263916, 23.91254425048828)","(-108.10220336914062, -103.69103240966797)"
