Species ID,Trait,Trait Value
347435,Body symmetry,"bilaterally symmetricURI:http://purl.obolibrary.org/obo/PATO_0001324Definition:being symmetric about a plane running from frontal end to caudal end (head to tail), and having nearly identical right and left halvesshow all records"
347435,actual evapotranspiration rate in geographic range,509.99 millimeters per month
347435,animal population density,136.99 individuals per square kilometer
347435,are eaten by,Lynx rufus (Schreber 1777) (bay lynx)
347435,are eaten by,Aquila chrysaetos (Linnaeus 1758) (Golden eagle)
347435,are eaten by,Parabuteo unicinctus (Temminck 1824) (Harris's Hawk)
347435,are eaten by,Aquila chrysaetos (Linnaeus 1758) (Golden eagle)
347435,are eaten by,Aquila chrysaetos (Linnaeus 1758) (Golden eagle)
347435,are host of,Bat coronavirus HKU6
347435,are host of,Bat coronavirus HKU6
347435,are host of,Bat coronavirus HKU6
347435,are host of,Hantavirus FL-2014
347435,are host of,Hantavirus FL-2014
347435,are parasitized by,Taenia taxidiensis
347435,are parasitized by,Taenia rileyiLoewen 1929
347435,are parasitized by,Cladotaenia globifera
347435,are parasitized by,Moniliformis clarki (Ward 1917)
347435,are parasitized by,Taenia mustelae
347435,are preyed upon by,Crotalus totonacus Gloyd & Kauffeld 1940
347435,are preyed upon by,Buteo jamaicensis (Gmelin & JF 1788) (Red-tailed Hawk)
347435,are preyed upon by,Lynx rufus (Schreber 1777) (bay lynx)
347435,are preyed upon by,Parabuteo unicinctus (Temminck 1824) (Harris's Hawk)
347435,are preyed upon by,Crotalus atrox Baird & Girard 1853 (Western Diamond-backed Rattlesnake)
347435,auditory system,otolithsURI:https://www.wikidata.org/entity/Q591800Definition:Inner-ear structure in vertebrates which detects acceleration and may detect acoustic signalsshow all records
347435,auditory system,"tympanic middle earURI:http://purl.obolibrary.org/obo/UBERON_0001756Definition:the air-filled cavity within the skull of vertebrates that lies between the outer ear and the inner ear. It is linked to the pharynx (and therefore to outside air) via the Eustachian tube and in mammals contains the three ear ossicles, which transmit auditory vibrations from the outer ear (via the tympanum) to the inner earshow all records"
347435,behavioral circadian rhythm,crepuscularURI:http://purl.obolibrary.org/obo/ECOCORE_00000078Definition:active primarily during dawn and duskshow all records
