id,location_variance,centroid,canonical,sibling
4535,19936050.51413976,"(3.283027095822673, -114.59960885435915)",Anous stolidus,"[('472799', 0.6996569222662826)]"
4146,13294098.17546708,"(15.826912391347497, -65.60334425453142)",Oceanites oceanicus,"[('43848', 0.43345481503861993)]"
12716,12784359.613769587,"(33.83833292848528, 10.938091053121898)",Turdus merula,"[('144243', 0.38422359441063864)]"
9771,12619014.199240455,"(37.28333002997292, -88.49954532963672)",Pinicola enucleator,"[('145300', 0.42321009226714995)]"
4191,12444890.688326437,"(-38.08489994604543, -177.01018872997358)",Phoebetria palpebrata,"[('13494', 0.8325546111001597)]"
4636,8976240.824459823,"(7.5066766994328376, -134.88354582695445)",Fregata minor,"[('9477', 0.8042330569507885)]"
4208,4347412.703847927,"(36.38230300051992, 22.92054069832256)",Podiceps cristatus,"[('117097', 0.5835090946155107)]"
487,2802640.572856586,"(-22.54425674980958, 20.542233274885287)",Fulica cristata,"[('558436', 0.3458121226656914)]"
472766,2792445.546616465,"(35.72548639550783, 19.327717739875006)",Falco tinnunculus,"[('35854', 0.4430070629095722)]"
7562,2488710.2516755136,"(23.486206572003958, -90.2610958818619)",Troglodytes aedon,"[('145308', 0.45450071877989073)]"
25003,61.421077066071824,"(-29.18272013492158, 22.51813729090557)",Breviceps fuscus,"[('25411', 0.1761823392934887)]"
64387,92.57741930321788,"(20.863512386285308, 114.19166950805456)",Paramesotriton hongkongensis,"[('24832', 0.7499360913062396)]"
43606,100.07100419537409,"(-17.898696543059362, 48.483638813428236)",Avahi laniger,"[('559131', 0.006598738884557594)]"
225741,129.34880773987433,"(28.545281008605592, -105.73171923208433)",Neotamias canipes,"[('19975', 0.786247529949036)]"
35990,378.046246951936,"(25.116867846213637, -15.519170623327497)",Gallotia stehlini,"[('871', 0.49850308416855255)]"
24391,660.4112559150411,"(10.181279875888519, -84.70912025410607)",Duellmanohyla rufioculis,"[('12953', 3.879729709586271e-05)]"
73903,816.197186832787,"(29.82130717184808, 32.77735801924661)",Phoenicolacerta troodica,"[('12038', 0.8325546111576972)]"
27409,846.0660405563907,"(29.479152359804488, -93.814539573663)",Desmognathus brimleyorum,"[('11970', 0.8052740246617324)]"
27919,878.5203388756132,"(4.733937278193456, -74.04835473116835)",Atractus crassicaudatus,"[('6228', 4.166709660773596e-12)]"
27097,915.2032786911744,"(29.59279534021018, -93.83462192303894)",Eurycea multiplicata,"[('27163', 0.4432715182345356)]"
