Species ID,Trait,Trait Value
962419,Body symmetry,"bilaterally symmetricURI:http://purl.obolibrary.org/obo/PATO_0001324Definition:being symmetric about a plane running from frontal end to caudal end (head to tail), and having nearly identical right and left halvesshow all records"
962419,Body symmetry,Naja nivea (Linnaeus 1758) (Cape cobra)
962419,Body symmetry,Cynictis penicillata (Yellow Mongoose)
962419,Body symmetry,Kalicephalus colubriOrtlepp 1923
962419,Body symmetry,Hexametra quadricornis
962419,Body symmetry,Kalicephalus colubriOrtlepp 1923
962419,Body symmetry,Naja nivea (Linnaeus 1758) (Cape cobra)
962419,Body symmetry,Cynictis penicillata (Yellow Mongoose)
962419,Body symmetry,Naja anchietae Bocage 1879 (Anchieta's Cobra)
962419,Body symmetry,Naja nivea (Linnaeus 1758) (Cape cobra)
962419,Body symmetry,Naja nivea (Linnaeus 1758) (Cape cobra)
962419,Body symmetry,otolithsURI:https://www.wikidata.org/entity/Q591800Definition:Inner-ear structure in vertebrates which detects acceleration and may detect acoustic signalsshow all records
962419,Body symmetry,"tympanic middle earURI:http://purl.obolibrary.org/obo/UBERON_0001756Definition:the air-filled cavity within the skull of vertebrates that lies between the outer ear and the inner ear. It is linked to the pharynx (and therefore to outside air) via the Eustachian tube and in mammals contains the three ear ossicles, which transmit auditory vibrations from the outer ear (via the tympanum) to the inner earshow all records"
962419,Body symmetry,"tympanic middle earURI:http://purl.obolibrary.org/obo/UBERON_0001756Definition:the air-filled cavity within the skull of vertebrates that lies between the outer ear and the inner ear. It is linked to the pharynx (and therefore to outside air) via the Eustachian tube and in mammals contains the three ear ossicles, which transmit auditory vibrations from the outer ear (via the tympanum) to the inner earshow all records"
962419,Body symmetry,multicellularURI:http://purl.obolibrary.org/obo/PATO_0001993Definition:A cellularity quality inhering in a bearer by virtue of the bearers consisting of more than one cell. [ PATOC:GVG ]show all records
962419,Body symmetry,"least concernURI:http://eol.org/schema/terms/leastConcernDefinition:A taxon is Least Concern when it has been evaluated against the criteria and does not qualify for Critically Endangered, Endangered, Vulnerable or Near Threatened. Widespread and abundant taxa are included in this category.Attribution:http://www.iucnredlist.org/technical-documents/categories-and-criteriashow all records"
962419,Body symmetry,Pavo cristatus Linnaeus 1758 (Asiatic peafowl)
962419,Body symmetry,Knysna-Amatole Montane ForestsURI:http://eol.org/schema/terms/Knysna-Amatole_montane_forestsAttribution:https://www.worldwildlife.org/ecoregions/at0115show all records
