id,scientific_name,family,kingdom,phylum,parent,class,genus
31529,Lophognathus gilberti,Agamidae,Animalia,Chordata,Lophognathus,Squamata,Lophognathus
3117,Patagioenas flavirostris,Columbidae,Animalia,Chordata,Patagioenas,Aves,Patagioenas
116872,Cincloramphus cruralis,Locustellidae,Animalia,Chordata,Megalurus,Aves,Megalurus
13392,Dicaeum agile,Dicaeidae,Animalia,Chordata,Dicaeum,Aves,Dicaeum
13456,Orthonyx temminckii,Orthonychidae,Animalia,Chordata,Orthonyx,Aves,Orthonyx
508972,Bolemoreus frenatus,Meliphagidae,Animalia,Chordata,Bolemoreus,Aves,Bolemoreus
11114,Lochmias nematura,Furnariidae,Animalia,Chordata,Lochmias,Aves,Lochmias
73849,Liolaemus nitidus,Liolaemidae,Animalia,Chordata,Liolaemus,Squamata,Liolaemus
11896,Hirundo smithii,Hirundinidae,Animalia,Chordata,Hirundo,Aves,Hirundo
7920,Pachycephala rufiventris,Pachycephalidae,Animalia,Chordata,Pachycephala,Aves,Pachycephala
41301,Tadarida brasiliensis,Molossidae,Animalia,Chordata,Tadarida,Mammalia,Tadarida
43138,Lepus tolai,Leporidae,Animalia,Chordata,Lepus,Mammalia,Lepus
13532,Pardalotus striatus,Pardalotidae,Animalia,Chordata,Pardalotus,Aves,Pardalotus
1289491,Neophedina cincta,Hirundinidae,Animalia,Chordata,Riparia,Aves,Riparia
144460,Micronisus gabar,Accipitridae,Animalia,Chordata,Micronisus,Aves,Micronisus
6364,Selasphorus flammula,Trochilidae,Animalia,Chordata,Selasphorus,Aves,Selasphorus
1224,Ptilopachus petrosus,Odontophoridae,Animalia,Chordata,Ptilopachus,Aves,Ptilopachus
37721,Saproscincus mustelinus,Scincidae,Animalia,Chordata,Saproscincus,Squamata,Saproscincus
31150,Agama atra,Agamidae,Animalia,Chordata,Agama,Squamata,Agama
517047,Sclerophrys mauritanica,Bufonidae,Animalia,Chordata,Sclerophrys,Amphibia,Sclerophrys
